"","Country/Region","date.x","var","value","value_new","population","Lat","Long","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date.y"
"64","Belarus",2020-04-10,"recovered",169,62,9449000,14,19,1981,495,19,3,169,1793,72,210,2,53000,5609,"Europe","2020-04-10"
"65","Belgium",2020-04-10,"active",18080,814,11590000,6,2,26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269,"Europe","2020-04-10"
"66","Belgium",2020-04-10,"confirmed",26667,1684,11590000,50,2,26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269,"Europe","2020-04-10"
"67","Belgium",2020-04-10,"deaths",3019,496,11590000,34,4,26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269,"Europe","2020-04-10"
"68","Belgium",2020-04-10,"recovered",5568,483,11590000,17,2,26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269,"Europe","2020-04-10"
"69","Belize",2020-04-10,"active",9,1,398000,6,-59.5432,10,1,1,NA,NA,9,1,25,3,364,915,"North America","2020-04-10"
"70","Belize",2020-04-10,"confirmed",10,1,398000,1,-59.5432,10,1,1,NA,NA,9,1,25,3,364,915,"North America","2020-04-10"
"71","Belize",2020-04-10,"deaths",1,NA,398000,5,-59.5432,10,1,1,NA,NA,9,1,25,3,364,915,"North America","2020-04-10"
"72","Belize",2020-04-10,"recovered",NA,0,398000,3,-59.5432,10,1,1,NA,NA,9,1,25,3,364,915,"North America","2020-04-10"
"73","Benin",2020-04-10,"active",29,0,12123000,9,2,35,9,1,NA,5,29,NA,3,0.08,NA,NA,"Africa","2020-04-10"
"74","Benin",2020-04-10,"confirmed",35,9,12123000,4,2,35,9,1,NA,5,29,NA,3,0.08,NA,NA,"Africa","2020-04-10"
"75","Benin",2020-04-10,"deaths",1,NA,12123000,9,1,35,9,1,NA,5,29,NA,3,0.08,NA,NA,"Africa","2020-04-10"
"76","Benin",2020-04-10,"recovered",5,0,12123000,9,1,35,9,1,NA,5,29,NA,3,0.08,NA,NA,"Africa","2020-04-10"
"77","Bhutan",2020-04-10,"active",3,0,772000,23,8,5,NA,NA,NA,2,3,NA,6,NA,1166,1511,"Asia","2020-04-10"
"78","Bhutan",2020-04-10,"confirmed",5,NA,772000,4,27,5,NA,NA,NA,2,3,NA,6,NA,1166,1511,"Asia","2020-04-10"
"79","Bhutan",2020-04-10,"deaths",NA,NA,772000,14,41,5,NA,NA,NA,2,3,NA,6,NA,1166,1511,"Asia","2020-04-10"
"80","Bhutan",2020-04-10,"recovered",2,0,772000,26,15,5,NA,NA,NA,2,3,NA,6,NA,1166,1511,"Asia","2020-04-10"
"81","Bolivia",2020-04-10,"active",247,51,331003000,-16.2902,-63.5887,268,4,19,1,2,247,3,23,2,591,51,"South America","2020-04-10"
