"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date"
"196","Nepal",9,NA,NA,NA,1,8,NA,0.3,NA,2895,99,"Asia","2020-04-10"
"197","Montserrat",9,NA,NA,NA,NA,9,1,1803,NA,36,7212,"North America","2020-04-10"
"198","Turks and Caicos",8,NA,1,NA,NA,7,NA,207,26,61,1576,"North America","2020-04-10"
"199","Central African Republic",8,NA,NA,NA,NA,8,NA,2,NA,NA,NA,"Africa","2020-04-10"
"200","Vatican City",8,NA,NA,NA,2,6,NA,9988,NA,NA,NA,"Europe","2020-04-10"
"201","Sierra Leone",8,1,NA,NA,NA,8,NA,1,NA,NA,NA,"Africa","2020-04-10"
"202","Cabo Verde",7,NA,1,NA,1,5,NA,13,2,NA,NA,"Africa","2020-04-10"
"203","Mauritania",7,NA,1,NA,2,4,NA,2,0.2,258,55,"Africa","2020-04-10"
"204","Nicaragua",7,NA,1,NA,NA,6,NA,1,0.2,NA,NA,"North America","2020-04-10"
"205","St. Barth",6,NA,NA,NA,1,5,NA,607,NA,NA,NA,"North America","2020-04-10"
"206","Bhutan",5,NA,NA,NA,2,3,NA,6,NA,1166,1511,"Asia","2020-04-10"
"207","Falkland Islands",5,NA,NA,NA,1,4,NA,1437,NA,137,39368,"South America","2020-04-10"
"208","Gambia",4,NA,1,NA,2,1,NA,2,0.4,NA,NA,"Africa","2020-04-10"
"209","Sao Tome and Principe",4,NA,NA,NA,NA,4,NA,18,NA,19,87,"Africa","2020-04-10"
"210","South Sudan",4,1,NA,NA,NA,4,NA,0.4,NA,NA,NA,"Africa","2020-04-10"
"211","Western Sahara",4,NA,NA,NA,NA,4,NA,7,NA,NA,NA,"Africa","2020-04-10"
"212","Anguilla",3,NA,NA,NA,NA,3,NA,200,NA,NA,NA,"North America","2020-04-10"
"213","British Virgin Islands",3,NA,NA,NA,NA,3,NA,99,NA,NA,NA,"North America","2020-04-10"
"214","Burundi",3,NA,NA,NA,NA,3,NA,0.3,NA,NA,NA,"Africa","2020-04-10"
"215","Caribbean Netherlands",2,NA,NA,NA,NA,2,NA,76,NA,10,381,"North America","2020-04-10"
"216","Papua New Guinea",2,NA,NA,NA,NA,2,NA,0.2,NA,72,8,"Australia/Oceania","2020-04-10"
"217","Timor-Leste",2,1,NA,NA,1,1,NA,2,NA,NA,NA,"Asia","2020-04-10"
"218","Saint Pierre Miquelon",1,NA,NA,NA,NA,1,NA,173,NA,NA,NA,"North America","2020-04-10"
"219","Yemen",1,1,NA,NA,NA,1,NA,0.03,NA,NA,NA,"Asia","2020-04-10"
"220","China",81907,42,3336,1,77455,1116,144,57,2,NA,NA,"Asia","2020-04-10"
"221","Total:",521653,21433,19023,1357,32871,469759,11849,NA,NA,NA,NA,"North America","2020-04-10"
"222","Total:",807567,28715,68807,2989,192841,545919,30294,NA,NA,NA,NA,"Europe","2020-04-10"
"223","Total:",273618,9721,10202,306,133546,129870,6615,NA,NA,NA,NA,"Asia","2020-04-10"
"224","Total:",42608,3003,1672,57,4465,36471,1160,NA,NA,NA,NA,"South America","2020-04-10"
"225","Total:",7573,96,55,3,3515,4003,79,NA,NA,NA,NA,"Australia/Oceania","2020-04-10"
"226","Total:",13257,377,678,46,2144,10435,154,NA,NA,NA,NA,"Africa","2020-04-10"
"227","Total:",721,NA,13,NA,619,89,10,NA,NA,NA,NA,"","2020-04-10"
"228","Total:",1666997,63345,100450,4758,370001,1196546,50161,213.9,12.9,NA,NA,"All","2020-04-10"
